Year,Sport,Country,Gender,Medal Rank,Medal,Age of Athlete,Event,Name of Athlete or Team
2006,Speedskating,Russia,Women,3,bronze,,Women's Team Pursuit (6 laps),Russia
2010,Biathlon,Russia,Women,1,gold,,Women's 4 × 6-Kilometer Relay,Russia
2010,Biathlon,France,Women,2,silver,,Women's 4 × 6-Kilometer Relay,France
2010,Biathlon,Germany,Women,3,bronze,,Women's 4 × 6-Kilometer Relay,Germany
2010,Bobsled,Canada,Women,1,gold,,Women's Two,Canada-1
2010,Bobsled,Canada,Women,2,silver,,Women's Two,Canada-2
2010,Bobsled,United States,Women,3,bronze,,Women's Two,United States-2
2010,Cross-Country Skiing,Norway,Women,1,gold,,Women's 4 × 5-Kilometer Relay,Norway
2010,Cross-Country Skiing,Germany,Women,2,silver,,Women's 4 × 5-Kilometer Relay,Germany
2010,Cross-Country Skiing,Finland,Women,3,bronze,,Women's 4 × 5-Kilometer Relay,Finland
2010,Cross-Country Skiing,Germany,Women,1,gold,,Women's Team Sprint,Germany
2010,Cross-Country Skiing,Sweden,Women,2,silver,,Women's Team Sprint,Sweden
2010,Cross-Country Skiing,Russia,Women,3,bronze,,Women's Team Sprint,Russia
2010,Curling,Sweden,Women,1,gold,,Women's Curling,Sweden
2010,Curling,Canada,Women,2,silver,,Women's Curling,Canada
2010,Curling,China,Women,3,bronze,,Women's Curling,China
2010,Ice Hockey,Canada,Women,1,gold,,Women's Ice Hockey,Canada
2010,Ice Hockey,United States,Women,2,silver,,Women's Ice Hockey,United States
2010,Ice Hockey,Finland,Women,3,bronze,,Women's Ice Hockey,Finland
2010,Short-Track Speedskating,China,Women,1,gold,,"Women's 3,000-Meter Relay",China
2010,Short-Track Speedskating,Canada,Women,2,silver,,"Women's 3,000-Meter Relay",Canada
2010,Short-Track Speedskating,United States,Women,3,bronze,,"Women's 3,000-Meter Relay",United States
2010,Speedskating,Germany,Women,1,gold,,Women's Team Pursuit (6 laps),Germany
2010,Speedskating,Japan,Women,2,silver,,Women's Team Pursuit (6 laps),Japan
2010,Speedskating,Poland,Women,3,bronze,,Women's Team Pursuit (6 laps),Poland
2014,Cross-Country Skiing,Sweden,Women,1,gold,,Women's 4 × 5-Kilometer Relay,Sweden
2014,Cross-Country Skiing,Finland,Women,2,silver,,Women's 4 × 5-Kilometer Relay,Finland
2014,Cross-Country Skiing,Germany,Women,3,bronze,,Women's 4 × 5-Kilometer Relay,Germany
2014,Short-Track Speedskating,South Korea,Women,1,gold,,"Women's 3,000-Meter Relay",South Korea
2014,Short-Track Speedskating,Canada,Women,2,silver,,"Women's 3,000-Meter Relay",Canada
2014,Short-Track Speedskating,Italy,Women,3,bronze,,"Women's 3,000-Meter Relay",Italy
2014,Bobsled,Canada,Women,1,gold,,Women's Two,Canada
2014,Bobsled,United States,Women,2,silver,,Women's Two,United States
2014,Bobsled,United States,Women,3,bronze,,Women's Two,United States
2014,Cross-Country Skiing,Norway,Women,1,gold,,Women's Team Sprint,Norway
2014,Cross-Country Skiing,Finland,Women,2,silver,,Women's Team Sprint,Finland
2014,Cross-Country Skiing,Sweden,Women,3,bronze,,Women's Team Sprint,Sweden
2014,Curling,Canada,Women,1,gold,,Women's Curling,Canada
2014,Curling,Sweden,Women,2,silver,,Women's Curling,Sweden
2014,Curling,Britain,Women,3,bronze,,Women's Curling,Britain
2014,Ice Hockey,Canada,Women,1,gold,,Women's Ice Hockey,Canada
2014,Ice Hockey,United States,Women,2,silver,,Women's Ice Hockey,United States
2014,Ice Hockey,Switzerland,Women,3,bronze,,Women's Ice Hockey,Switzerland
2014,Biathlon,Ukraine,Women,1,gold,,Women's 4 × 6-Kilometer Relay,Ukraine
2014,Biathlon,Russia,Women,2,silver,,Women's 4 × 6-Kilometer Relay,Russia
2014,Biathlon,Norway,Women,3,bronze,,Women's 4 × 6-Kilometer Relay,Norway
2014,Speedskating,Netherlands,Women,1,gold,,Women's Team Pursuit,Netherlands
2014,Speedskating,Poland,Women,2,silver,,Women's Team Pursuit,Poland
2014,Speedskating,Russia,Women,3,bronze,,Women's Team Pursuit,Russia
1992,Biathlon,Unified Team,Women,1,gold,27,Women's 7.5-Kilometer Sprint,Anfisa Reztsova
1992,Biathlon,Germany,Women,2,silver,24,Women's 7.5-Kilometer Sprint,Antje Misersky-Harvey
1992,Biathlon,Unified Team,Women,3,bronze,26,Women's 7.5-Kilometer Sprint,Yelena Belova
1992,Biathlon,Germany,Women,1,gold,24,Women's 15 Kilometers,Antje Misersky-Harvey
1992,Biathlon,Unified Team,Women,2,silver,23,Women's 15 Kilometers,Svetlana Pechorskaya
1992,Biathlon,Canada,Women,3,bronze,22,Women's 15 Kilometers,Myriam Bédard
1992,Freestyle Skiing,United States,Women,1,gold,26,Women's Moguls,Donna Weinbrecht
1992,Freestyle Skiing,Unified Team,Women,2,silver,18,Women's Moguls,Yelizaveta Kozhevnikova
1992,Freestyle Skiing,Norway,Women,3,bronze,25,Women's Moguls,Stine Lise Hattestad
1992,Short-Track Speedskating,United States,Women,1,gold,29,Women's 500 Meters,Cathy Turner
1992,Short-Track Speedskating,China,Women,2,silver,23,Women's 500 Meters,Li Yan
1992,Short-Track Speedskating,North Korea,Women,3,bronze,19,Women's 500 Meters,Hwang Ok-Sil
1994,Biathlon,Canada,Women,1,gold,24,Women's 7.5-Kilometer Sprint,Myriam Bédard
1994,Biathlon,Belarus,Women,2,silver,28,Women's 7.5-Kilometer Sprint,Svetlana Paramygina
1994,Biathlon,Ukraine,Women,3,bronze,25,Women's 7.5-Kilometer Sprint,Valentyna Tserbe-Nessina
1994,Biathlon,Canada,Women,1,gold,24,Women's 15 Kilometers,Myriam Bédard
1994,Biathlon,France,Women,2,silver,25,Women's 15 Kilometers,Anne Briand-Bouthiaux
1994,Biathlon,Germany,Women,3,bronze,23,Women's 15 Kilometers,Uschi Disl
1994,Freestyle Skiing,Norway,Women,1,gold,27,Women's Moguls,Stine Lise Hattestad
1994,Freestyle Skiing,United States,Women,2,silver,28,Women's Moguls,Liz McIntyre
1994,Freestyle Skiing,Russia,Women,3,bronze,20,Women's Moguls,Yelizaveta Kozhevnikova
1994,Freestyle Skiing,Uzbekistan,Women,1,gold,25,Women's Aerials,Lina Cheryazova
1994,Freestyle Skiing,Sweden,Women,2,silver,23,Women's Aerials,Marie Lindgren
1994,Freestyle Skiing,Norway,Women,3,bronze,22,Women's Aerials,Hilde Synnøve Lid
1994,Short-Track Speedskating,United States,Women,1,gold,31,Women's 500 Meters,Cathy Turner
1994,Short-Track Speedskating,China,Women,2,silver,21,Women's 500 Meters,Zhang Yanmei
1994,Short-Track Speedskating,United States,Women,3,bronze,22,Women's 500 Meters,Amy Peterson
1994,Short-Track Speedskating,South Korea,Women,1,gold,18,"Women's 1,000 Meters",Jeon I-Gyeong
1994,Short-Track Speedskating,Canada,Women,2,silver,30,"Women's 1,000 Meters",Nathalie Lambert
1994,Short-Track Speedskating,South Korea,Women,3,bronze,17,"Women's 1,000 Meters",Kim So-Hui
1998,Biathlon,Russia,Women,1,gold,25,Women's 7.5-Kilometer Sprint,Galina Kukleva
1998,Biathlon,Germany,Women,2,silver,27,Women's 7.5-Kilometer Sprint,Uschi Disl
1998,Biathlon,Germany,Women,3,bronze,24,Women's 7.5-Kilometer Sprint,Katrin Apel
1998,Biathlon,Bulgaria,Women,1,gold,22,Women's 15 Kilometers,Ekaterina Dafovska
1998,Biathlon,Ukraine,Women,2,silver,25,Women's 15 Kilometers,Olena Petrova
1998,Biathlon,Germany,Women,3,bronze,27,Women's 15 Kilometers,Uschi Disl
1998,Freestyle Skiing,Japan,Women,1,gold,21,Women's Moguls,Tae Satoya
1998,Freestyle Skiing,Germany,Women,2,silver,33,Women's Moguls,Tatjana Mittermayer
1998,Freestyle Skiing,Norway,Women,3,bronze,24,Women's Moguls,Kari Traa
1998,Freestyle Skiing,United States,Women,1,gold,27,Women's Aerials,Nikki Stone
1998,Freestyle Skiing,China,Women,2,silver,19,Women's Aerials,Xu Nannan
1998,Freestyle Skiing,Switzerland,Women,3,bronze,30,Women's Aerials,Colette Brand
1998,Short-Track Speedskating,Canada,Women,1,gold,26,Women's 500 Meters,Annie Perreault
1998,Short-Track Speedskating,China,Women,2,silver,20,Women's 500 Meters,Yang Yang (S)
1998,Short-Track Speedskating,South Korea,Women,3,bronze,22,Women's 500 Meters,Jeon I-Gyeong
1998,Short-Track Speedskating,South Korea,Women,1,gold,22,"Women's 1,000 Meters",Jeon I-Gyeong
1998,Short-Track Speedskating,China,Women,2,silver,20,"Women's 1,000 Meters",Yang Yang (S)
1998,Short-Track Speedskating,South Korea,Women,3,bronze,18,"Women's 1,000 Meters",Won Hye-Gyeong
1998,Snowboarding,France,Women,1,gold,20,Women's Giant Slalom,Karine Ruby
1998,Snowboarding,Germany,Women,2,silver,19,Women's Giant Slalom,Heidi Renoth
1998,Snowboarding,Austria,Women,3,bronze,27,Women's Giant Slalom,Brigitte Köck
1998,Snowboarding,Germany,Women,1,gold,20,Women's Halfpipe,Nicola Thost
1998,Snowboarding,Norway,Women,2,silver,22,Women's Halfpipe,Stine Brun Kjeldaas
1998,Snowboarding,United States,Women,3,bronze,25,Women's Halfpipe,Shannon Dunn
2002,Biathlon,Germany,Women,1,gold,25,Women's 7.5-Kilometer Sprint,Kati Wilhelm
2002,Biathlon,Germany,Women,2,silver,31,Women's 7.5-Kilometer Sprint,Uschi Disl
2002,Biathlon,Sweden,Women,3,bronze,34,Women's 7.5-Kilometer Sprint,Magdalena Wallin-Forsberg
2002,Biathlon,Russia,Women,1,gold,26,Women's 10-Kilometer pursuit,Olga Pylyova-Medvedtseva
2002,Biathlon,Germany,Women,2,silver,25,Women's 10-Kilometer pursuit,Kati Wilhelm
2002,Biathlon,Bulgaria,Women,3,bronze,27,Women's 10-Kilometer pursuit,Irina Nikulchina
2002,Biathlon,Germany,Women,1,gold,24,Women's 15 Kilometers,Andrea Henkel
2002,Biathlon,Norway,Women,2,silver,27,Women's 15 Kilometers,Liv Grete Skjelbreid-Poirée
2002,Biathlon,Sweden,Women,3,bronze,34,Women's 15 Kilometers,Magdalena Wallin-Forsberg
2002,Freestyle Skiing,Norway,Women,1,gold,28,Women's Moguls,Kari Traa
2002,Freestyle Skiing,United States,Women,2,silver,21,Women's Moguls,Shannon Bahrke
2002,Freestyle Skiing,Japan,Women,3,bronze,25,Women's Moguls,Tae Satoya
2002,Freestyle Skiing,Australia,Women,1,gold,27,Women's Aerials,Alisa Camplin
2002,Freestyle Skiing,Canada,Women,2,silver,27,Women's Aerials,Veronica Brenner
2002,Freestyle Skiing,Canada,Women,3,bronze,20,Women's Aerials,Deidra Dionne
2002,Short-Track Speedskating,China,Women,1,gold,25,Women's 500 Meters,Yang Yang (A)
2002,Short-Track Speedskating,Bulgaria,Women,2,silver,24,Women's 500 Meters,Evgeniya Radanova
2002,Short-Track Speedskating,China,Women,3,bronze,23,Women's 500 Meters,Wang Chunlu
2002,Short-Track Speedskating,China,Women,1,gold,25,"Women's 1,000 Meters",Yang Yang (A)
2002,Short-Track Speedskating,South Korea,Women,2,silver,15,"Women's 1,000 Meters",Go Gi-Hyeon
2002,Short-Track Speedskating,China,Women,3,bronze,24,"Women's 1,000 Meters",Yang Yang (S)
2002,Short-Track Speedskating,South Korea,Women,1,gold,15,"Women's 1,500 Meters",Go Gi-Hyeon
2002,Short-Track Speedskating,South Korea,Women,2,silver,17,"Women's 1,500 Meters",Choi Eun-Gyeong
2002,Short-Track Speedskating,Bulgaria,Women,3,bronze,24,"Women's 1,500 Meters",Evgeniya Radanova
2002,Skeleton,United States,Women,1,gold,21,Women's Skeleton,Tristan Gale
2002,Skeleton,United States,Women,2,silver,33,Women's Skeleton,Lea Ann Parsley
2002,Skeleton,Britain,Women,3,bronze,28,Women's Skeleton,Alex Coomber
2002,Snowboarding,France,Women,1,gold,26,Women's Parallel Giant Slalom,Isabelle Blanc
2002,Snowboarding,France,Women,2,silver,24,Women's Parallel Giant Slalom,Karine Ruby
2002,Snowboarding,Italy,Women,3,bronze,28,Women's Parallel Giant Slalom,Lidia Trettel
2002,Snowboarding,United States,Women,1,gold,18,Women's Halfpipe,Kelly Clark
2002,Snowboarding,France,Women,2,silver,25,Women's Halfpipe,Doriane Vidal
2002,Snowboarding,Switzerland,Women,3,bronze,22,Women's Halfpipe,Fabienne Reuteler
2006,Biathlon,France,Women,1,gold,31,Women's 7.5-Kilometer Sprint,Florence Baverel-Robert
2006,Biathlon,Sweden,Women,2,silver,32,Women's 7.5-Kilometer Sprint,Anna-Carin Olofsson-Zidek
2006,Biathlon,Ukraine,Women,3,bronze,28,Women's 7.5-Kilometer Sprint,Liliya Yefremova
2006,Biathlon,Germany,Women,1,gold,29,Women's 10-Kilometer pursuit,Kati Wilhelm
2006,Biathlon,Germany,Women,2,silver,26,Women's 10-Kilometer pursuit,Martina Glagow-Beck
2006,Biathlon,Russia,Women,3,bronze,29,Women's 10-Kilometer pursuit,Albina Akhatova
2006,Biathlon,Sweden,Women,1,gold,32,Women's 12.5-Kilometer Mass Start,Anna-Carin Olofsson-Zidek
2006,Biathlon,Germany,Women,2,silver,29,Women's 12.5-Kilometer Mass Start,Kati Wilhelm
2006,Biathlon,Germany,Women,3,bronze,35,Women's 12.5-Kilometer Mass Start,Uschi Disl
2006,Biathlon,Russia,Women,1,gold,33,Women's 15 Kilometers,Svetlana Ishmuratova
2006,Biathlon,Germany,Women,2,silver,26,Women's 15 Kilometers,Martina Glagow-Beck
2006,Biathlon,Russia,Women,3,bronze,29,Women's 15 Kilometers,Albina Akhatova
2006,Freestyle Skiing,Canada,Women,1,gold,22,Women's Moguls,Jennifer Heil
2006,Freestyle Skiing,Norway,Women,2,silver,32,Women's Moguls,Kari Traa
2006,Freestyle Skiing,France,Women,3,bronze,25,Women's Moguls,Sandra Laoura
2006,Freestyle Skiing,Switzerland,Women,1,gold,29,Women's Aerials,Evelyne Leu
2006,Freestyle Skiing,China,Women,2,silver,23,Women's Aerials,Li Nina
2006,Freestyle Skiing,Australia,Women,3,bronze,31,Women's Aerials,Alisa Camplin
2006,Short-Track Speedskating,China,Women,1,gold,20,Women's 500 Meters,Wang Meng
2006,Short-Track Speedskating,Bulgaria,Women,2,silver,28,Women's 500 Meters,Evgeniya Radanova
2006,Short-Track Speedskating,Canada,Women,3,bronze,21,Women's 500 Meters,Anouk Leblanc-Boucher
2006,Short-Track Speedskating,South Korea,Women,1,gold,17,"Women's 1,000 Meters",Jin Seon-Yu
2006,Short-Track Speedskating,China,Women,2,silver,20,"Women's 1,000 Meters",Wang Meng
2006,Short-Track Speedskating,China,Women,3,bronze,29,"Women's 1,000 Meters",Yang Yang (A)
2006,Short-Track Speedskating,South Korea,Women,1,gold,17,"Women's 1,500 Meters",Jin Seon-Yu
2006,Short-Track Speedskating,South Korea,Women,2,silver,21,"Women's 1,500 Meters",Choi Eun-Gyeong
2006,Short-Track Speedskating,China,Women,3,bronze,20,"Women's 1,500 Meters",Wang Meng
2006,Skeleton,Switzerland,Women,1,gold,33,Women's Skeleton,Maya Pedersen
2006,Skeleton,Britain,Women,2,silver,24,Women's Skeleton,Shelley Rudman
2006,Skeleton,Canada,Women,3,bronze,25,Women's Skeleton,Mellisa Hollingsworth-Richards
2006,Snowboarding,Switzerland,Women,1,gold,24,Women's Parallel Giant Slalom,Daniela Meuli
2006,Snowboarding,Germany,Women,2,silver,18,Women's Parallel Giant Slalom,Amelie Kober
2006,Snowboarding,United States,Women,3,bronze,30,Women's Parallel Giant Slalom,Rosey Fletcher
2006,Snowboarding,United States,Women,1,gold,19,Women's Halfpipe,Hannah Teter
2006,Snowboarding,United States,Women,2,silver,24,Women's Halfpipe,Gretchen Bleiler
2006,Snowboarding,Norway,Women,3,bronze,24,Women's Halfpipe,Kjersti Buaas
2006,Snowboarding,Switzerland,Women,1,gold,30,Women's Boardercross,Tanja Frieden
2006,Snowboarding,United States,Women,2,silver,20,Women's Boardercross,Lindsey Jacobellis
2006,Snowboarding,Canada,Women,3,bronze,25,Women's Boardercross,Dominique Maltais
2010,Biathlon,Slovakia,Women,1,gold,25,Women's 7.5-Kilometer Sprint,Anastasia Kuzmina
2010,Biathlon,Germany,Women,2,silver,23,Women's 7.5-Kilometer Sprint,Magdalena Neuner
2010,Biathlon,France,Women,3,bronze,23,Women's 7.5-Kilometer Sprint,Marie Dorin
2010,Biathlon,Germany,Women,1,gold,23,Women's 10-Kilometer pursuit,Magdalena Neuner
2010,Biathlon,Slovakia,Women,2,silver,25,Women's 10-Kilometer pursuit,Anastasia Kuzmina
2010,Biathlon,France,Women,3,bronze,21,Women's 10-Kilometer pursuit,Marie Laure Brunet
2010,Biathlon,Germany,Women,1,gold,23,Women's 12.5-Kilometer Mass Start,Magdalena Neuner
2010,Biathlon,Russia,Women,2,silver,31,Women's 12.5-Kilometer Mass Start,Olga Zaytseva
2010,Biathlon,Germany,Women,3,bronze,30,Women's 12.5-Kilometer Mass Start,Simone Hauswald
2010,Biathlon,Norway,Women,1,gold,28,Women's 15 Kilometers,Tora Berger
2010,Biathlon,Kazakhstan,Women,2,silver,29,Women's 15 Kilometers,Yelena Khrustalyova
2010,Biathlon,Belarus,Women,3,bronze,23,Women's 15 Kilometers,Darya Domracheva
2010,Freestyle Skiing,United States,Women,1,gold,23,Women's Moguls,Hannah Kearney
2010,Freestyle Skiing,Canada,Women,2,silver,26,Women's Moguls,Jennifer Heil
2010,Freestyle Skiing,United States,Women,3,bronze,29,Women's Moguls,Shannon Bahrke
2010,Freestyle Skiing,Australia,Women,1,gold,28,Women's Aerials,Lydia Ierodiaconou-Lassila
2010,Freestyle Skiing,China,Women,2,silver,27,Women's Aerials,Li Nina
2010,Freestyle Skiing,China,Women,3,bronze,26,Women's Aerials,Guo Xinxin
2010,Freestyle Skiing,Canada,Women,1,gold,26,Women's Ski Cross,Ashleigh McIvor
2010,Freestyle Skiing,Norway,Women,2,silver,33,Women's Ski Cross,Hedda Berntsen
2010,Freestyle Skiing,France,Women,3,bronze,23,Women's Ski Cross,Marion Josserand
2010,Short-Track Speedskating,China,Women,1,gold,24,Women's 500 Meters,Wang Meng
2010,Short-Track Speedskating,Canada,Women,2,silver,19,Women's 500 Meters,Marianne St-Gelais
2010,Short-Track Speedskating,Italy,Women,3,bronze,19,Women's 500 Meters,Arianna Fontana
2010,Short-Track Speedskating,China,Women,1,gold,24,"Women's 1,000 Meters",Wang Meng
2010,Short-Track Speedskating,United States,Women,2,silver,21,"Women's 1,000 Meters",Katherine Reutter
2010,Short-Track Speedskating,South Korea,Women,3,bronze,17,"Women's 1,000 Meters",Park Seung-Hui
2010,Short-Track Speedskating,China,Women,1,gold,18,"Women's 1,500 Meters",Zhou Yang
2010,Short-Track Speedskating,South Korea,Women,2,silver,18,"Women's 1,500 Meters",Lee Eun-Byeol
2010,Short-Track Speedskating,South Korea,Women,3,bronze,17,"Women's 1,500 Meters",Park Seung-Hui
2010,Skeleton,Britain,Women,1,gold,27,Women's Skeleton,Amy Williams
2010,Skeleton,Germany,Women,2,silver,32,Women's Skeleton,Kerstin Szymkowiak
2010,Skeleton,Germany,Women,3,bronze,26,Women's Skeleton,Anja Huber
2010,Snowboarding,Netherlands,Women,1,gold,30,Women's Parallel Giant Slalom,Nicolien Sauerbreij
2010,Snowboarding,Russia,Women,2,silver,22,Women's Parallel Giant Slalom,Yekaterina Ilyukhina
2010,Snowboarding,Austria,Women,3,bronze,28,Women's Parallel Giant Slalom,Marion Kreiner
2010,Snowboarding,Australia,Women,1,gold,23,Women's Halfpipe,Torah Bright
2010,Snowboarding,United States,Women,2,silver,23,Women's Halfpipe,Hannah Teter
2010,Snowboarding,United States,Women,3,bronze,26,Women's Halfpipe,Kelly Clark
2010,Snowboarding,Canada,Women,1,gold,31,Women's Boardercross,Maëlle Ricker
2010,Snowboarding,France,Women,2,silver,31,Women's Boardercross,Déborah Anthonioz
2010,Snowboarding,Switzerland,Women,3,bronze,27,Women's Boardercross,Olivia Nobs
2014,Freestyle Skiing,Canada,Women,1,gold,19,Women's Moguls,Justine Dufour-Lapointe
2014,Freestyle Skiing,Canada,Women,2,silver,22,Women's Moguls,Chloe Dufour-Lapointe
2014,Freestyle Skiing,United States,Women,3,bronze,27,Women's Moguls,Hannah Kearney
2014,Biathlon,Slovakia,Women,1,gold,29,Women's 7.5-Kilometer Sprint,Anastasiya Kuzmina
2014,Biathlon,Russia,Women,2,silver,25,Women's 7.5-Kilometer Sprint,Olga Vilukhina
2014,Biathlon,Ukraine,Women,3,bronze,28,Women's 7.5-Kilometer Sprint,Vita Semerenko
2014,Snowboarding,United States,Women,1,gold,23,Women's Slopestyle,Jamie Anderson
2014,Snowboarding,Finland,Women,2,silver,23,Women's Slopestyle,Enni Rukajarvi
2014,Snowboarding,Britain,Women,3,bronze,33,Women's Slopestyle,Jenny Jones
2014,Biathlon,Belarus,Women,1,gold,27,Women's 10-Kilometer pursuit,Darya Domracheva
2014,Biathlon,Norway,Women,2,silver,32,Women's 10-Kilometer pursuit,Tora Berger
2014,Biathlon,Slovenia,Women,3,bronze,33,Women's 10-Kilometer pursuit,Teja Gregorin
2014,Freestyle Skiing,Canada,Women,1,gold,19,Women's Ski Slopestyle,Dara Howell
2014,Freestyle Skiing,United States,Women,2,silver,20,Women's Ski Slopestyle,Devin Logan
2014,Freestyle Skiing,Canada,Women,3,bronze,25,Women's Ski Slopestyle,Kim Lamarre
2014,Ski Jumping,Germany,Women,1,gold,22,"Women's Normal Hill, Individual",Carina Vogt
2014,Ski Jumping,Austria,Women,2,silver,30,"Women's Normal Hill, Individual",Daniela Iraschko-Stolz
2014,Ski Jumping,France,Women,3,bronze,18,"Women's Normal Hill, Individual",Coline Mattel
2014,Snowboarding,United States,Women,1,gold,24,Women's Halfpipe,Kaitlyn Farrington
2014,Snowboarding,Australia,Women,2,silver,27,Women's Halfpipe,Torah Bright
2014,Snowboarding,United States,Women,3,bronze,30,Women's Halfpipe,Kelly Clark
2014,Short-Track Speedskating,China,Women,1,gold,27,Women's 500 Meters,Jianrou Li
2014,Short-Track Speedskating,Italy,Women,2,silver,23,Women's 500 Meters,Arianna Fontana
2014,Short-Track Speedskating,South Korea,Women,3,bronze,21,Women's 500 Meters,Seung-Hi Park
2014,Biathlon,Belarus,Women,1,gold,27,"Women's 15 Kilometer, Individual",Darya Domracheva
2014,Biathlon,Switzerland,Women,2,silver,29,"Women's 15 Kilometer, Individual",Selina Gasparin
2014,Biathlon,Belarus,Women,3,bronze,28,"Women's 15 Kilometer, Individual",Nadezhda Skardino
2014,Skeleton,Britain,Women,1,gold,25,Women's Skeleton,Elizabeth Yarnold
2014,Skeleton,United States,Women,2,silver,31,Women's Skeleton,Noelle Pikus-Pace
2014,Skeleton,Russia,Women,3,bronze,21,Women's Skeleton,Elena Nikitina
2014,Freestyle Skiing,Belarus,Women,1,gold,34,Women's Aerials,Alla Tsuper
2014,Freestyle Skiing,China,Women,2,silver,23,Women's Aerials,Mengtao Xu
2014,Freestyle Skiing,Australia,Women,3,bronze,32,Women's Aerials,Lydia Lassila
2014,Short-Track Speedskating,China,Women,1,gold,22,"Women's 1,500 Meters",Yang Zhou
2014,Short-Track Speedskating,South Korea,Women,2,silver,17,"Women's 1,500 Meters",Suk Hee Shim
2014,Short-Track Speedskating,Italy,Women,3,bronze,23,"Women's 1,500 Meters",Arianna Fontana
2014,Snowboarding,Czech Republic,Women,1,gold,20,Women's Boardercross,Eva Samkova
2014,Snowboarding,Canada,Women,2,silver,33,Women's Boardercross,Dominique Maltais
2014,Snowboarding,France,Women,3,bronze,19,Women's Boardercross,Chloe Trespeuch
2014,Biathlon,Belarus,Women,1,gold,27,Women's 12.5-Kilometer Mass Start,Darya Domracheva
2014,Biathlon,Czech Republic,Women,2,silver,24,Women's 12.5-Kilometer Mass Start,Gabriela Soukalova
2014,Biathlon,Norway,Women,3,bronze,23,Women's 12.5-Kilometer Mass Start,Tiril Eckhoff
2014,Snowboarding,Switzerland,Women,1,gold,26,Women's Parallel Giant Slalom,Patrizia Kummer
2014,Snowboarding,Japan,Women,2,silver,30,Women's Parallel Giant Slalom,Tomoka Takeuchi
2014,Snowboarding,Russia,Women,3,bronze,24,Women's Parallel Giant Slalom,Alena Zavarzina
2014,Freestyle Skiing,United States,Women,1,gold,20,Women's Ski Halfpipe,Maddie Bowman
2014,Freestyle Skiing,France,Women,2,silver,29,Women's Ski Halfpipe,Marie Martinod
2014,Freestyle Skiing,Japan,Women,3,bronze,25,Women's Ski Halfpipe,Ayana Onozuka
2014,Freestyle Skiing,Canada,Women,1,gold,21,Women's Ski Cross,Marielle Thompson
2014,Freestyle Skiing,Canada,Women,2,silver,24,Women's Ski Cross,Kelsey Serwa
2014,Freestyle Skiing,Sweden,Women,3,bronze,26,Women's Ski Cross,Anna Holmlund
2014,Short-Track Speedskating,South Korea,Women,1,gold,21,"Women's 1,000 Meters",Seung-Hi Park
2014,Short-Track Speedskating,China,Women,2,silver,20,"Women's 1,000 Meters",Kexin Fan
2014,Short-Track Speedskating,South Korea,Women,3,bronze,17,"Women's 1,000 Meters",Suk Hee Shim
2014,Snowboarding,Austria,Women,1,gold,26,Women's Parallel Slalom,Julia Dujmovits
2014,Snowboarding,Germany,Women,2,silver,28,Women's Parallel Slalom,Anke Karstens
2014,Snowboarding,Germany,Women,3,bronze,26,Women's Parallel Slalom,Amelie Kober
1952,Cross-Country Skiing,Finland,Women,1,gold,31,Women's 10 Kilometers,Lydia Wideman
1952,Cross-Country Skiing,Finland,Women,2,silver,21,Women's 10 Kilometers,Mirja Hietamies
1952,Cross-Country Skiing,Finland,Women,3,bronze,27,Women's 10 Kilometers,Siiri Rantanen
1956,Cross-Country Skiing,Soviet Union,Women,1,gold,26,Women's 10 Kilometers,Lyubov Kozyreva-Baranova
1956,Cross-Country Skiing,Soviet Union,Women,2,silver,25,Women's 10 Kilometers,Radiya Yeroshina
1956,Cross-Country Skiing,Sweden,Women,3,bronze,25,Women's 10 Kilometers,Sonja Edström-Ruthström
1960,Cross-Country Skiing,Soviet Union,Women,1,gold,29,Women's 10 Kilometers,Mariya Gusakova
1960,Cross-Country Skiing,Soviet Union,Women,2,silver,30,Women's 10 Kilometers,Lyubov Kozyreva-Baranova
1960,Cross-Country Skiing,Soviet Union,Women,3,bronze,29,Women's 10 Kilometers,Radiya Yeroshina
1964,Cross-Country Skiing,Soviet Union,Women,1,gold,24,Women's 5 Kilometers,Klavdiya Boyarskikh
1964,Cross-Country Skiing,Finland,Women,2,silver,21,Women's 5 Kilometers,Mirja Lehtonen
1964,Cross-Country Skiing,Soviet Union,Women,3,bronze,33,Women's 5 Kilometers,Alevtina Kolchina
1964,Cross-Country Skiing,Soviet Union,Women,1,gold,24,Women's 10 Kilometers,Klavdiya Boyarskikh
1964,Cross-Country Skiing,Soviet Union,Women,2,silver,32,Women's 10 Kilometers,Yevdokiya Mekshilo
1964,Cross-Country Skiing,Soviet Union,Women,3,bronze,32,Women's 10 Kilometers,Mariya Gusakova
1968,Cross-Country Skiing,Sweden,Women,1,gold,30,Women's 5 Kilometers,Toini Gustafsson
1968,Cross-Country Skiing,Soviet Union,Women,2,silver,25,Women's 5 Kilometers,Galina Kulakova
1968,Cross-Country Skiing,Soviet Union,Women,3,bronze,37,Women's 5 Kilometers,Alevtina Kolchina
1968,Cross-Country Skiing,Sweden,Women,1,gold,30,Women's 10 Kilometers,Toini Gustafsson
1968,Cross-Country Skiing,Norway,Women,2,silver,27,Women's 10 Kilometers,Berit Mørdre-Lammedal
1968,Cross-Country Skiing,Norway,Women,3,bronze,26,Women's 10 Kilometers,Inger Aufles
1972,Cross-Country Skiing,Soviet Union,Women,1,gold,29,Women's 5 Kilometers,Galina Kulakova
